load_id,po_id,carrier_id,mode,equipment,pickup_planned,delivery_planned,pickup_actual,delivery_actual,pallets,weight_lbs,cube_cuft,planned_miles,linehaul_cost,fuel_cost,accessorial_cost,status,osd_flag,osd_reason
900000,50000,303,TL,Dry Van,2025-03-26,2025-03-30,2025-03-26,2025-03-30,15,14018,1173.3,1962,4997.15,583.35,50,Delivered,0,
900001,50001,304,TL,Dry Van,2025-03-29,2025-04-03,2025-03-30,2025-04-05,10,15510,1116.8,2139,5548.93,1104.39,0,Delayed,0,
900002,50002,304,TL,Dry Van,2025-04-14,2025-04-18,2025-04-14,2025-04-17,15,11648,1274.6,2001,4411.6,664.17,50,Delivered,0,
900003,50003,300,LTL,Dry Van,2025-03-22,2025-03-26,2025-03-22,2025-03-26,2,4484,184.5,1962,747.86,95.35,0,Delivered,0,
900004,50004,300,TL,Dry Van,2025-04-25,2025-04-27,2025-04-25,2025-04-26,17,15706,1356.9,1047,2401.81,414.27,50,Delivered,0,
900005,50005,303,TL,Dry Van,2025-02-27,2025-03-03,2025-02-27,2025-03-02,13,15598,919.0,2325,5441.74,600.11,0,Delivered,0,
900006,50006,304,TL,Reefer,2025-03-21,2025-03-25,2025-03-21,2025-03-25,20,15441,1115.4,2325,5848.1,1152.49,50,Delivered,0,
900007,50007,300,TL,Dry Van,2025-03-13,2025-03-17,2025-03-13,2025-03-17,12,11422,1095.0,1925,4542.64,621.88,0,Delayed,0,
900008,50008,300,TL,Reefer,2025-02-14,2025-02-17,2025-02-14,2025-02-17,9,8458,1131.7,1775,3158.72,528.83,0,Delivered,0,
900009,50009,301,TL,Reefer,2025-01-27,2025-01-30,2025-01-26,2025-01-28,20,13241,1229.6,1370,2932.26,334.76,0,Delivered,0,
900010,50010,300,TL,Dry Van,2025-05-27,2025-05-28,2025-05-27,2025-05-28,13,17309,859.2,443,758.59,94.69,0,Delivered,0,
900011,50011,301,TL,Dry Van,2025-05-24,2025-05-25,2025-05-24,2025-05-27,7,16635,1241.7,348,779.95,137.57,0,Delayed,0,
900012,50012,301,TL,Dry Van,2025-03-28,2025-03-30,2025-03-28,2025-03-30,11,16877,972.4,1047,2701.51,398.44,0,Delivered,0,
900013,50013,302,LTL,Dry Van,2025-05-23,2025-05-27,2025-05-23,2025-05-27,7,4478,228.6,2112,693.51,83.23,50,Delivered,0,
900014,50014,304,TL,Dry Van,2025-04-03,2025-04-07,2025-04-03,2025-04-09,13,15306,997.9,2181,3784.21,565.59,0,Delivered,0,
900015,50015,304,LTL,Dry Van,2025-01-27,2025-01-30,2025-01-27,2025-01-29,3,1981,473.6,1819,459.89,88.65,0,Delivered,1,Damaged packaging
900016,50016,301,TL,Dry Van,2025-03-22,2025-03-25,2025-03-22,2025-03-24,10,16161,992.3,1775,4226.25,841.37,200,Delivered,0,
900017,50017,303,LTL,Dry Van,2025-03-28,2025-03-29,2025-03-29,2025-03-31,5,200,171.5,348,300.0,53.11,75,Delivered,0,
900018,50018,301,TL,Dry Van,2025-01-16,2025-01-17,2025-01-16,2025-01-16,11,15322,1238.7,348,725.01,96.27,0,Delivered,0,
900019,50019,301,TL,Reefer,2025-04-26,2025-04-30,2025-04-26,2025-05-02,8,17538,1257.4,2112,4700.78,593.92,200,Delivered,0,
900020,50020,301,TL,Dry Van,2025-01-18,2025-01-22,2025-01-18,2025-01-22,14,11773,1240.4,1826,3409.83,451.21,50,Delivered,0,
900021,50021,304,LTL,Dry Van,2025-02-26,2025-03-02,2025-02-26,2025-03-02,1,200,167.1,2181,682.53,92.49,0,Delivered,0,
900022,50022,301,TL,Dry Van,2025-03-05,2025-03-06,2025-03-05,2025-03-07,14,11992,886.7,761,1893.86,215.23,0,Delivered,0,
900023,50023,301,TL,Dry Van,2025-02-09,2025-02-12,2025-02-09,2025-02-14,13,12559,1102.9,1263,3024.47,417.03,50,Delayed,0,
900024,50024,301,LTL,Flatbed,2025-06-30,2025-07-03,2025-06-30,2025-07-03,2,2533,282.3,1370,540.72,101.08,50,In Transit,1,Shorted
900025,50025,302,TL,Reefer,2025-02-13,2025-02-16,2025-02-13,2025-02-15,11,11139,1484.9,1370,2580.98,282.25,125,Delivered,0,
900026,50026,300,TL,Dry Van,2025-06-05,2025-06-09,2025-06-05,2025-06-07,14,14835,1409.8,2008,5128.4,900.81,0,Delivered,0,
900027,50027,300,LTL,Flatbed,2025-02-24,2025-02-27,2025-02-24,2025-02-26,3,4325,261.4,1263,441.11,84.66,0,Delivered,0,
900028,50028,301,TL,Dry Van,2025-01-24,2025-01-28,2025-01-24,2025-01-29,13,18314,1249.9,2112,4404.69,744.29,125,Delivered,0,
900029,50029,300,TL,Dry Van,2025-05-23,2025-05-28,2025-05-23,2025-05-27,6,13529,1039.8,2287,4370.99,676.75,0,Delivered,0,
900030,50030,304,TL,Dry Van,2025-03-17,2025-03-20,2025-03-17,2025-03-21,14,14135,1272.9,1263,2563.79,390.07,0,Delivered,0,
900031,50031,303,TL,Dry Van,2025-05-29,2025-06-03,2025-05-29,2025-06-03,16,15782,1194.0,2139,3727.26,656.84,200,Delivered,0,
900032,50032,304,TL,Dry Van,2025-03-03,2025-03-04,2025-03-03,2025-03-04,9,19506,1334.9,450,1006.56,180.4,75,Delivered,0,
900033,50033,304,LTL,Dry Van,2025-01-18,2025-01-22,2025-01-18,2025-01-21,3,5858,230.2,2325,612.58,118.32,0,Delivered,0,
900034,50034,303,LTL,Dry Van,2025-05-08,2025-05-09,2025-05-08,2025-05-08,8,2365,50.0,761,300.0,36.07,0,Delivered,0,
900035,50035,302,LTL,Dry Van,2025-01-31,2025-02-05,2025-01-31,2025-02-06,4,3372,236.2,2287,971.05,163.04,0,Delivered,0,
900036,50036,304,TL,Dry Van,2025-06-20,2025-06-24,2025-06-20,2025-06-23,14,19649,1121.6,1905,3483.69,415.61,0,Delivered,0,
900037,50037,304,TL,Dry Van,2025-05-08,2025-05-11,2025-05-08,2025-05-11,7,12050,1249.8,1263,2205.01,424.09,125,Delivered,0,
900038,50038,304,LTL,Flatbed,2025-02-01,2025-02-05,2025-02-01,2025-02-04,1,4123,151.0,1698,605.31,99.41,0,Delivered,0,
900039,50039,300,TL,Dry Van,2025-02-25,2025-02-28,2025-02-25,2025-02-28,8,16985,1202.9,1775,4474.75,515.04,125,Delivered,0,
900040,50040,302,TL,Flatbed,2025-04-21,2025-04-25,2025-04-23,2025-04-26,15,14699,1179.4,2008,4330.19,622.24,0,Delivered,0,
900041,50041,304,TL,Dry Van,2025-01-17,2025-01-22,2025-01-17,2025-01-22,10,16659,1244.8,2139,4529.01,466.94,50,Delivered,0,
900042,50042,304,TL,Dry Van,2025-03-04,2025-03-09,2025-03-04,2025-03-07,12,14354,1520.8,2287,4139.61,797.36,0,Canceled,0,
900043,50043,301,TL,Dry Van,2025-06-15,2025-06-16,2025-06-15,2025-06-16,14,12390,1044.2,761,1354.47,190.55,200,Delivered,0,
900044,50044,300,TL,Dry Van,2025-03-25,2025-03-29,2025-03-25,2025-03-28,14,14675,1121.9,2008,4304.26,763.1,0,Delivered,0,
900045,50045,304,LTL,Dry Van,2025-06-26,2025-06-30,2025-06-26,2025-06-30,4,9318,415.2,2008,701.42,132.41,50,Delivered,0,
900046,50046,302,LTL,Dry Van,2025-02-18,2025-02-22,2025-02-18,2025-02-23,11,6213,351.6,2001,726.55,80.35,0,Delivered,0,
900047,50047,302,LTL,Dry Van,2025-03-24,2025-03-26,2025-03-25,2025-03-26,5,2477,467.5,1047,433.0,75.59,0,Delivered,0,
900048,50048,301,TL,Dry Van,2025-01-16,2025-01-20,2025-01-16,2025-01-19,11,18420,1417.3,1991,3442.31,479.62,125,Delivered,0,
900049,50049,300,LTL,Dry Van,2025-06-14,2025-06-18,2025-06-14,2025-06-18,4,6359,151.2,1905,667.96,132.98,0,Delivered,0,
900050,50050,300,LTL,Dry Van,2025-05-09,2025-05-13,2025-05-09,2025-05-12,2,532,424.4,1962,621.6,79.07,0,Delivered,0,
900051,50051,301,TL,Dry Van,2025-02-26,2025-02-27,2025-02-26,2025-02-27,15,15423,883.8,348,601.92,73.75,75,Delivered,0,
900052,50052,303,LTL,Dry Van,2025-04-10,2025-04-14,2025-04-10,2025-04-15,3,6058,338.0,1905,733.56,135.06,200,Delivered,0,
900053,50053,301,TL,Dry Van,2025-06-06,2025-06-07,2025-06-06,2025-06-08,7,11741,1231.6,443,893.21,108.67,50,Delayed,0,
900054,50054,304,LTL,Flatbed,2025-04-01,2025-04-04,2025-04-01,2025-04-04,7,4442,150.3,1775,530.64,70.51,75,Delivered,0,
900055,50055,301,TL,Dry Van,2025-03-21,2025-03-24,2025-03-21,2025-03-22,13,16916,1259.7,1263,2919.08,307.69,200,Delivered,0,
900056,50056,301,TL,Dry Van,2025-01-27,2025-01-31,2025-01-27,2025-01-30,13,13717,1674.3,2181,3797.33,678.56,0,Delivered,0,
900057,50057,301,LTL,Dry Van,2025-04-29,2025-05-01,2025-04-29,2025-04-30,7,781,400.9,1047,371.74,48.99,0,Delivered,0,
900058,50058,300,TL,Dry Van,2025-05-19,2025-05-20,2025-05-19,2025-05-19,9,13097,1134.4,761,1568.55,239.84,0,Delivered,0,
